clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Spezial,10.743510652222344,10.474818230871696,11.012203073572994,46.30180130716508,61.39879569431592,63.42920569769417,59.36838569093766,19.133717391550693,18.459633307161248,19.80780147594014
Tisch,10.070110972560816,10.860668281744303,9.279553663377326,48.34316891212754,85.94369114097577,76.95039378072708,94.93698850122445,22.93825470918676,25.130524021073704,20.745985397299812
Treffen,12.443544806626425,15.197197550770516,9.68989206248234,50.186779488500754,70.68911036596754,66.41781772330573,74.96040300862934,17.021153717708486,21.318952937282724,12.723354498134247
Vater,10.816397155568039,,10.816397155568039,61.0546773954207,68.8390011504246,,68.8390011504246,16.079288999070585,,16.079288999070585
Verschieden,12.613399274214231,12.069657419110628,13.157141129317834,45.557034809617456,70.46565717548025,60.23131585998611,80.69999849097437,20.944303362770228,22.067403002042916,19.821203723497533
VorsichtPassAuf,9.66747568759937,8.97189026415669,10.363061111042052,41.60293920569161,53.415334343853296,56.226494146420805,50.60417454128578,15.689799216976345,15.177900801069482,16.201697632883207
Waschen,16.45128278387025,19.782046246512312,13.120519321228192,62.5429323359998,77.0460738584933,59.79838929462866,94.29375842235794,26.248655753977786,29.392580702176538,23.104730805779038
Widerspruch,13.248502581999876,15.986035988329027,10.510969175670729,57.688942571297716,68.57769194163643,47.8672968770432,89.28808700622965,25.842560914391278,38.022334284517704,13.662787544264857
Ziel,13.161727601066875,13.622031881457913,12.701423320675838,50.52577256107816,80.65335359589348,89.38435717242258,71.92235001936433,17.942093286828875,16.44732827872488,19.43685829493287
reparieren,12.06909260154683,14.152852624666828,9.985332578426833,53.16652831725285,61.53034787635231,41.246737526533245,81.81395822617138,18.347239811954378,24.266396699404762,12.42808292450398
